text,category,subject
Atoms are the same thing as molecules,term_conflation,Chemistry
All molecules are compounds,overgeneralization,Chemistry
"Only animals are made of cells, not plants",overgeneralization,Biology
The cell wall and cell membrane are the same thing,term_conflation,Biology
All cells have a nucleus,overgeneralization,Biology
Heavier objects always fall faster than lighter ones,overgeneralization,Physics
Plants get their food from the soil,input_output_reversal,Biology
Plants breathe in oxygen and breathe out carbon dioxide during photosynthesis,input_output_reversal,Biology
Chlorophyll is the food that plants make,term_conflation,Biology
Respiration is the same thing as breathing,term_conflation,Biology
Respiration only happens in the lungs,overgeneralization,Biology
"Plants do not respire, they only photosynthesise",overgeneralization,Biology
Only mirrors reflect light,overgeneralization,Physics
Rough surfaces do not reflect light at all,overgeneralization,Physics
DNA is the same thing as a chromosome.,term_conflation,generated
Velocity and speed are the exact same concept in physics.,term_conflation,generated
Chemical bonds are identical to intermolecular forces.,term_conflation,generated
Machine learning is the same thing as artificial intelligence.,term_conflation,generated
Inflation and the cost of living are the same phenomenon.,term_conflation,generated
A mathematical expression is the same thing as an equation.,term_conflation,generated
Mitosis and meiosis represent the exact same process.,term_conflation,generated
Heat and temperature are the same physical property.,term_conflation,generated
Acids are the same thing as corrosive substances.,term_conflation,generated
Hardware is identical to firmware in a computer system.,term_conflation,generated
Revenue is the same thing as profit for a company.,term_conflation,generated
A theorem is the same thing as a mathematical theory.,term_conflation,generated
Genotype is the same thing as phenotype.,term_conflation,generated
Power is the same thing as energy in a physical system.,term_conflation,generated
An element is the same thing as a compound.,term_conflation,generated
Operating systems are the same thing as software applications.,term_conflation,generated
Fiscal policy is the same thing as monetary policy.,term_conflation,generated
A geometric polygon is the same thing as a polyhedron.,term_conflation,generated
Antibodies are the same thing as white blood cells.,term_conflation,generated
Mass and density represent the same physical characteristic.,term_conflation,generated
Catalysts are the same thing as reactants in chemistry.,term_conflation,generated
Compiling code is the same thing as interpreting code.,term_conflation,generated
Stock markets are the same thing as the economy.,term_conflation,generated
A variable is the same thing as an unknown constant.,term_conflation,generated
Evolution is the same thing as natural selection.,term_conflation,generated
Radiation is the same thing as radioactive contamination.,term_conflation,generated
Solutes are the same thing as solvents in a solution.,term_conflation,generated
The CPU is the same thing as the computer memory.,term_conflation,generated
A depression is the same thing as a recession.,term_conflation,generated
Integers are the same thing as rational numbers.,term_conflation,generated
Proteins are the same thing as amino acids.,term_conflation,generated
Friction and gravity are the same fundamental force.,term_conflation,generated
Covalent bonds are the same thing as ionic bonds.,term_conflation,generated
Binary code is the same thing as machine language.,term_conflation,generated
Supply is the same thing as demand in a market.,term_conflation,generated
Probability is the same thing as possibility.,term_conflation,generated
A biological species is the same thing as a population.,term_conflation,generated
Work and force are the same physical quantity.,term_conflation,generated
Isotopes are the same thing as ions.,term_conflation,generated
A function is the same thing as a relation.,term_conflation,generated
Biology: DNA and genes are exactly the same thing.,term_conflation,generated
Physics: Velocity and speed are identical physical measurements.,term_conflation,generated
Computer Science: The internet is the same thing as the World Wide Web.,term_conflation,generated
Economics: Price and cost represent the same economic concept.,term_conflation,generated
Mathematics: Expressions and equations are the same thing.,term_conflation,generated
Chemistry: Compounds and mixtures are essentially the same substance.,term_conflation,generated
Biology: Evolution and natural selection are the same process.,term_conflation,generated
Physics: Heat and temperature are the same thing.,term_conflation,generated
Computer Science: Hardware and software are the same thing.,term_conflation,generated
Economics: Revenue and profit mean the same thing.,term_conflation,generated
Mathematics: A variable and an unknown are the same thing.,term_conflation,generated
Chemistry: An element and an atom are the same thing.,term_conflation,generated
Biology: Viruses and bacteria are the same thing.,term_conflation,generated
Physics: Power and energy are the same physical property.,term_conflation,generated
Computer Science: Coding and programming are exactly the same thing.,term_conflation,generated
Economics: Inflation and the cost of living are the same thing.,term_conflation,generated
Mathematics: A ratio and a fraction are the same thing.,term_conflation,generated
Chemistry: A physical change and a chemical change are the same thing.,term_conflation,generated
Biology: Digestion and metabolism are the same thing.,term_conflation,generated
Physics: Displacement and distance are the same thing.,term_conflation,generated
Computer Science: RAM and storage are the same thing.,term_conflation,generated
Economics: Value and price represent the same thing.,term_conflation,generated
Mathematics: A digit and a number are the same thing.,term_conflation,generated
Chemistry: An ionic bond and a covalent bond are the same thing.,term_conflation,generated
Biology: Mitosis and meiosis are the same thing.,term_conflation,generated
Physics: Gravity and weight are the same thing.,term_conflation,generated
